id,transaction_date,user_id,order_id,product_id,campaign_id,quantity,net,tax,gross
80,2026-03-04 19:27:10,229,34,12,6,1,11.99,2.76,14.75
81,2026-03-04 19:27:10,229,34,7,1,1,79.99,18.40,98.39
82,2026-01-02 16:51:47,208,35,11,,1,6.99,1.61,8.60
83,2026-01-02 16:51:47,208,35,11,,2,13.98,3.22,17.20
84,2026-01-01 14:36:02,188,36,10,6,1,24.99,5.75,30.74
85,2026-01-01 14:36:02,188,36,13,,1,13.49,3.10,16.59
86,2026-01-01 14:36:02,188,36,6,,1,29.99,6.90,36.89
87,2026-02-05 16:24:58,96,37,9,8,1,15.99,3.68,19.67
88,2026-03-27 22:31:12,147,38,2,,1,12.99,2.99,15.98
89,2025-10-23 20:43:54,228,39,6,5,1,29.99,6.90,36.89
90,2025-10-23 20:43:54,228,39,14,3,1,5.99,1.38,7.37
91,2025-10-23 20:43:54,228,39,9,3,1,15.99,3.68,19.67
92,2025-10-07 13:35:36,253,40,6,3,1,29.99,6.90,36.89
93,2025-10-07 13:35:36,253,40,2,8,1,12.99,2.99,15.98
94,2025-10-07 13:35:36,253,40,13,3,1,13.49,3.10,16.59
95,2025-10-07 13:35:36,253,40,11,6,1,6.99,1.61,8.60
96,2026-03-13 17:11:49,283,41,3,1,1,18.99,4.37,23.36
97,2026-03-13 17:11:49,283,41,9,,1,15.99,3.68,19.67
98,2025-12-28 16:57:18,116,42,14,,1,5.99,1.38,7.37
99,2025-12-28 16:57:18,116,42,5,,1,10.99,2.53,13.52
100,2025-12-28 16:57:18,116,42,9,3,1,15.99,3.68,19.67
101,2026-02-22 08:52:55,173,43,1,5,1,8.99,2.07,11.06
102,2026-02-22 08:52:55,173,43,13,1,1,13.49,3.10,16.59
103,2026-02-22 08:52:55,173,43,11,5,1,6.99,1.61,8.60
104,2026-02-22 08:52:55,173,43,13,8,2,26.98,6.21,33.19
105,2025-11-10 15:26:30,31,44,8,6,1,14.99,3.45,18.44
106,2025-11-10 15:26:30,31,44,6,7,2,59.98,13.80,73.78
107,2026-02-09 16:06:20,190,45,4,,1,16.49,3.79,20.28
108,2025-10-13 12:24:55,50,46,10,3,1,24.99,5.75,30.74
109,2025-10-13 12:24:55,50,46,15,,1,21.99,5.06,27.05
110,2025-10-13 12:24:55,50,46,8,5,3,44.97,10.34,55.31
111,2025-10-13 12:24:55,50,46,2,4,3,38.97,8.96,47.93
112,2025-10-13 08:18:31,181,47,10,8,2,49.98,11.50,61.48
113,2025-10-28 14:08:56,5,48,5,6,2,21.98,5.06,27.04
114,2026-02-23 16:12:23,27,49,9,8,1,15.99,3.68,19.67
115,2026-02-23 16:12:23,27,49,5,2,2,21.98,5.06,27.04
116,2026-01-09 13:50:21,50,50,9,4,3,47.97,11.03,59.00
117,2026-01-09 13:50:21,50,50,7,,1,79.99,18.40,98.39
118,2026-04-24 15:33:29,171,51,3,6,1,18.99,4.37,23.36
119,2026-04-24 15:33:29,171,51,6,5,1,29.99,6.90,36.89
120,2026-04-24 15:33:29,171,51,9,5,2,31.98,7.36,39.34
121,2026-04-24 15:33:29,171,51,1,7,1,8.99,2.07,11.06
122,2026-04-24 15:33:29,171,51,13,1,2,26.98,6.21,33.19
123,2026-04-24 15:33:29,171,51,5,4,3,32.97,7.58,40.55
124,2026-04-24 15:33:29,171,51,10,7,1,24.99,5.75,30.74
125,2025-10-09 17:44:07,125,52,4,,1,16.49,3.79,20.28
126,2026-01-14 16:49:39,105,53,15,1,1,21.99,5.06,27.05
127,2026-01-14 16:49:39,105,53,9,,1,15.99,3.68,19.67
128,2026-01-14 16:49:39,105,53,9,8,1,15.99,3.68,19.67
129,2026-01-14 16:49:39,105,53,6,5,1,29.99,6.90,36.89
130,2026-01-14 16:49:39,105,53,4,,3,49.47,11.38,60.85
131,2026-04-16 12:45:13,153,54,12,,2,23.98,5.52,29.50
132,2025-12-13 09:36:43,141,55,9,6,1,15.99,3.68,19.67
133,2025-12-13 09:36:43,141,55,13,,1,13.49,3.10,16.59
134,2025-12-13 09:36:43,141,55,2,5,1,12.99,2.99,15.98
135,2025-12-13 09:36:43,141,55,4,5,1,16.49,3.79,20.28
136,2025-12-02 08:42:57,123,56,9,,1,15.99,3.68,19.67
137,2026-04-02 15:06:43,170,57,13,3,1,13.49,3.10,16.59
138,2026-04-02 15:06:43,170,57,15,4,2,43.98,10.12,54.10
139,2026-04-02 15:06:43,170,57,5,2,1,10.99,2.53,13.52
140,2026-04-02 15:06:43,170,57,4,1,1,16.49,3.79,20.28
141,2026-04-02 15:06:43,170,57,3,1,1,18.99,4.37,23.36
142,2026-04-02 15:06:43,170,57,7,,2,159.98,36.80,196.78
143,2026-04-02 15:06:43,170,57,14,1,3,17.97,4.13,22.10
144,2025-12-25 12:29:41,55,58,9,3,1,15.99,3.68,19.67
145,2025-12-25 12:29:41,55,58,8,6,1,14.99,3.45,18.44
146,2026-03-15 12:45:11,235,59,1,4,2,17.98,4.14,22.12
147,2026-04-30 14:32:20,208,60,2,,1,12.99,2.99,15.98
148,2026-04-30 14:32:20,208,60,8,,1,14.99,3.45,18.44
149,2026-01-23 20:17:21,121,61,5,5,1,10.99,2.53,13.52
150,2026-01-23 20:17:21,121,61,12,8,1,11.99,2.76,14.75
151,2026-03-25 16:59:57,208,62,15,,2,43.98,10.12,54.10
152,2026-01-03 17:14:14,152,63,3,6,1,18.99,4.37,23.36
153,2026-01-03 17:14:14,152,63,9,4,2,31.98,7.36,39.34
154,2026-01-03 17:14:14,152,63,11,2,2,13.98,3.22,17.20
155,2026-01-03 17:14:14,152,63,9,,2,31.98,7.36,39.34
156,2026-01-03 17:14:14,152,63,1,4,2,17.98,4.14,22.12
157,2026-01-03 17:14:14,152,63,3,8,1,18.99,4.37,23.36
158,2026-04-02 17:31:05,106,64,15,8,1,21.99,5.06,27.05
159,2026-01-25 17:03:35,213,65,8,,1,14.99,3.45,18.44
160,2026-04-28 08:47:13,131,66,10,2,1,24.99,5.75,30.74
161,2026-04-28 08:47:13,131,66,1,,3,26.97,6.20,33.17
162,2026-04-28 08:47:13,131,66,1,,1,8.99,2.07,11.06
163,2026-01-04 22:24:28,216,67,14,2,2,11.98,2.76,14.74
164,2026-01-04 22:24:28,216,67,11,,2,13.98,3.22,17.20
165,2026-01-04 22:24:28,216,67,2,3,1,12.99,2.99,15.98
166,2026-01-04 22:24:28,216,67,4,5,2,32.98,7.59,40.57
167,2026-01-04 22:24:28,216,67,12,4,1,11.99,2.76,14.75
168,2025-11-09 12:12:59,178,68,15,,2,43.98,10.12,54.10
169,2025-11-09 12:12:59,178,68,7,1,1,79.99,18.40,98.39
170,2025-10-26 17:02:28,35,69,10,4,1,24.99,5.75,30.74
171,2025-10-26 17:02:28,35,69,7,1,1,79.99,18.40,98.39
172,2025-11-29 21:58:46,149,70,10,6,1,24.99,5.75,30.74
173,2026-03-19 16:14:26,74,71,5,3,1,10.99,2.53,13.52
174,2026-03-19 16:14:26,74,71,7,,1,79.99,18.40,98.39
175,2026-04-20 16:20:44,196,72,7,,1,79.99,18.40,98.39
176,2026-01-30 11:54:14,276,73,5,,2,21.98,5.06,27.04
177,2026-01-30 11:54:14,276,73,1,3,1,8.99,2.07,11.06
178,2026-01-30 11:54:14,276,73,5,8,1,10.99,2.53,13.52
179,2026-01-30 11:54:14,276,73,2,1,1,12.99,2.99,15.98
180,2025-10-19 11:51:48,21,74,10,8,2,49.98,11.50,61.48
181,2025-12-17 22:00:13,171,75,15,8,1,21.99,5.06,27.05
182,2025-12-17 22:00:13,171,75,12,,1,11.99,2.76,14.75
183,2025-12-17 22:00:13,171,75,9,,1,15.99,3.68,19.67
184,2025-12-17 22:00:13,171,75,11,,1,6.99,1.61,8.60
185,2025-12-17 22:00:13,171,75,8,8,1,14.99,3.45,18.44
186,2025-12-17 22:00:13,171,75,6,7,2,59.98,13.80,73.78
187,2026-04-08 10:01:16,114,76,9,7,3,47.97,11.03,59.00
188,2025-12-24 11:24:36,101,77,14,6,1,5.99,1.38,7.37
189,2026-04-04 18:47:31,251,78,8,3,1,14.99,3.45,18.44
190,2026-02-03 10:58:56,280,79,9,1,3,47.97,11.03,59.00
191,2026-02-03 10:58:56,280,79,2,1,3,38.97,8.96,47.93
192,2026-02-03 10:58:56,280,79,14,,1,5.99,1.38,7.37
193,2026-02-07 15:23:03,112,80,10,8,1,24.99,5.75,30.74
194,2026-02-07 15:23:03,112,80,1,1,1,8.99,2.07,11.06
195,2026-02-15 12:01:32,141,81,14,3,1,5.99,1.38,7.37
196,2026-02-12 10:15:12,50,82,10,5,1,24.99,5.75,30.74
197,2026-02-12 10:15:12,50,82,2,4,1,12.99,2.99,15.98
198,2026-02-12 10:15:12,50,82,4,2,1,16.49,3.79,20.28
199,2026-02-12 10:15:12,50,82,14,,1,5.99,1.38,7.37
200,2026-02-12 10:15:12,50,82,7,,1,79.99,18.40,98.39
201,2025-10-22 15:54:27,88,83,11,2,2,13.98,3.22,17.20
202,2025-10-22 15:54:27,88,83,15,,1,21.99,5.06,27.05
203,2025-10-22 15:54:27,88,83,15,,1,21.99,5.06,27.05
204,2025-10-22 15:54:27,88,83,11,1,3,20.97,4.82,25.79
205,2025-10-05 11:37:09,162,84,13,2,2,26.98,6.21,33.19
206,2025-12-01 17:53:54,289,85,7,7,1,79.99,18.40,98.39
207,2025-12-01 17:53:54,289,85,3,2,2,37.98,8.74,46.72
208,2025-12-01 17:53:54,289,85,6,2,1,29.99,6.90,36.89
209,2026-04-17 13:01:40,204,86,5,4,2,21.98,5.06,27.04
210,2026-04-17 13:01:40,204,86,7,7,1,79.99,18.40,98.39
211,2026-04-23 11:45:04,152,87,2,3,1,12.99,2.99,15.98
212,2026-04-23 11:45:04,152,87,6,,1,29.99,6.90,36.89
213,2026-04-23 11:45:04,152,87,8,,1,14.99,3.45,18.44
214,2026-01-19 15:35:35,96,88,9,,1,15.99,3.68,19.67
215,2026-01-19 15:35:35,96,88,2,7,1,12.99,2.99,15.98
216,2026-01-08 20:05:46,212,89,15,4,1,21.99,5.06,27.05
217,2026-01-08 20:05:46,212,89,3,,1,18.99,4.37,23.36
218,2026-02-04 10:04:10,138,90,7,,1,79.99,18.40,98.39
219,2026-02-04 10:04:10,138,90,6,,1,29.99,6.90,36.89
220,2026-02-04 10:04:10,138,90,10,3,1,24.99,5.75,30.74
221,2025-12-25 21:39:24,203,91,13,7,2,26.98,6.21,33.19
222,2025-12-25 21:39:24,203,91,14,5,1,5.99,1.38,7.37
223,2026-01-31 13:11:25,103,92,6,8,1,29.99,6.90,36.89
224,2026-01-31 13:11:25,103,92,13,7,1,13.49,3.10,16.59
225,2026-01-31 13:11:25,103,92,15,3,1,21.99,5.06,27.05
226,2026-01-31 13:11:25,103,92,9,4,1,15.99,3.68,19.67
227,2026-01-31 13:11:25,103,92,5,,2,21.98,5.06,27.04
228,2026-01-31 13:11:25,103,92,13,5,1,13.49,3.10,16.59
229,2026-04-02 14:50:24,79,93,2,7,1,12.99,2.99,15.98
230,2026-04-02 14:50:24,79,93,15,1,3,65.97,15.17,81.14
231,2026-04-02 14:50:24,79,93,6,2,2,59.98,13.80,73.78
232,2026-03-18 18:22:10,128,94,11,7,1,6.99,1.61,8.60
233,2026-03-18 18:22:10,128,94,6,1,3,89.97,20.69,110.66
234,2026-02-08 19:33:35,114,95,10,,1,24.99,5.75,30.74
235,2026-02-08 19:33:35,114,95,8,3,2,29.98,6.90,36.88
236,2026-02-01 09:18:26,13,96,15,,3,65.97,15.17,81.14
237,2026-02-01 09:18:26,13,96,3,,1,18.99,4.37,23.36
238,2026-02-01 09:18:26,13,96,9,8,1,15.99,3.68,19.67
239,2026-02-01 09:18:26,13,96,8,,1,14.99,3.45,18.44
240,2026-02-01 09:18:26,13,96,2,,1,12.99,2.99,15.98
241,2026-04-08 11:33:11,85,97,9,8,1,15.99,3.68,19.67
242,2026-03-11 10:11:40,208,98,11,,1,6.99,1.61,8.60
243,2026-03-11 10:11:40,208,98,4,1,1,16.49,3.79,20.28
244,2026-03-11 10:11:40,208,98,4,2,1,16.49,3.79,20.28
245,2026-03-11 10:11:40,208,98,13,,2,26.98,6.21,33.19
246,2025-10-30 12:42:55,235,99,8,7,1,14.99,3.45,18.44
247,2025-10-30 12:42:55,235,99,10,8,1,24.99,5.75,30.74
248,2025-10-30 12:42:55,235,99,14,2,1,5.99,1.38,7.37
249,2025-10-30 12:42:55,235,99,6,,1,29.99,6.90,36.89
250,2026-02-08 14:26:38,73,100,3,8,1,18.99,4.37,23.36
251,2026-02-08 14:26:38,73,100,12,3,2,23.98,5.52,29.50
252,2026-02-08 14:26:38,73,100,8,,1,14.99,3.45,18.44
253,2026-02-08 14:26:38,73,100,10,1,1,24.99,5.75,30.74
254,2026-02-08 14:26:38,73,100,4,8,2,32.98,7.59,40.57
255,2026-02-08 14:26:38,73,100,8,8,1,14.99,3.45,18.44
256,2025-10-08 20:48:14,290,101,5,,1,10.99,2.53,13.52
257,2026-02-22 19:49:49,235,102,8,,1,14.99,3.45,18.44
258,2026-04-29 13:34:52,279,103,13,4,1,13.49,3.10,16.59
259,2026-04-29 13:34:52,279,103,2,4,2,25.98,5.98,31.96
260,2026-01-24 12:22:55,17,104,14,2,1,5.99,1.38,7.37
261,2026-01-24 12:22:55,17,104,4,6,1,16.49,3.79,20.28
262,2026-01-24 12:22:55,17,104,10,,1,24.99,5.75,30.74
263,2026-04-27 11:51:03,106,105,10,,1,24.99,5.75,30.74
264,2026-04-27 11:51:03,106,105,6,,3,89.97,20.69,110.66
265,2026-04-27 11:51:03,106,105,14,2,1,5.99,1.38,7.37
266,2025-10-16 12:55:41,211,106,3,,2,37.98,8.74,46.72
267,2025-12-03 20:53:43,165,107,7,5,1,79.99,18.40,98.39
268,2025-12-03 20:53:43,165,107,7,2,1,79.99,18.40,98.39
269,2025-12-03 20:53:43,165,107,12,6,1,11.99,2.76,14.75
270,2025-12-03 20:53:43,165,107,8,,1,14.99,3.45,18.44
271,2025-12-03 20:53:43,165,107,12,6,1,11.99,2.76,14.75
272,2025-12-03 20:53:43,165,107,13,,1,13.49,3.10,16.59
273,2025-12-03 20:53:43,165,107,4,,1,16.49,3.79,20.28
274,2026-02-25 10:36:54,281,108,8,1,2,29.98,6.90,36.88
275,2025-10-05 09:59:54,236,109,3,,1,18.99,4.37,23.36
276,2025-10-05 09:59:54,236,109,4,5,3,49.47,11.38,60.85
277,2025-10-24 18:23:16,141,110,2,3,1,12.99,2.99,15.98
278,2026-04-04 19:48:14,157,111,7,1,1,79.99,18.40,98.39
279,2025-11-03 17:14:33,40,112,11,,1,6.99,1.61,8.60
280,2026-01-17 19:08:30,62,113,2,,1,12.99,2.99,15.98
281,2026-01-17 19:08:30,62,113,2,3,1,12.99,2.99,15.98
282,2026-01-17 19:08:30,62,113,14,,2,11.98,2.76,14.74
283,2026-01-17 19:08:30,62,113,3,3,1,18.99,4.37,23.36
284,2026-01-17 19:08:30,62,113,12,7,1,11.99,2.76,14.75
285,2026-01-17 19:08:30,62,113,8,,2,29.98,6.90,36.88
286,2026-02-28 19:24:22,64,114,7,,1,79.99,18.40,98.39
287,2025-12-03 16:38:38,44,115,12,1,1,11.99,2.76,14.75
288,2025-12-03 16:38:38,44,115,11,,2,13.98,3.22,17.20
289,2025-12-03 16:38:38,44,115,4,,2,32.98,7.59,40.57
290,2026-02-04 14:07:15,123,116,8,,1,14.99,3.45,18.44
291,2026-02-04 14:07:15,123,116,1,3,3,26.97,6.20,33.17
292,2026-02-04 14:07:15,123,116,14,3,1,5.99,1.38,7.37
293,2026-02-04 14:07:15,123,116,13,1,1,13.49,3.10,16.59
294,2025-10-16 20:25:32,21,117,5,7,1,10.99,2.53,13.52
295,2025-10-16 20:25:32,21,117,7,3,1,79.99,18.40,98.39
296,2025-10-21 16:58:13,159,118,13,,1,13.49,3.10,16.59
297,2025-10-21 16:58:13,159,118,13,2,2,26.98,6.21,33.19
298,2026-04-05 21:15:03,224,119,4,8,1,16.49,3.79,20.28
299,2026-04-05 21:15:03,224,119,1,3,1,8.99,2.07,11.06
300,2026-03-29 08:10:31,71,120,6,5,1,29.99,6.90,36.89
301,2026-04-10 20:55:17,65,121,12,1,2,23.98,5.52,29.50
302,2025-12-09 16:04:16,220,122,12,8,3,35.97,8.27,44.24
303,2025-12-09 16:04:16,220,122,6,3,1,29.99,6.90,36.89
304,2025-12-09 16:04:16,220,122,5,2,2,21.98,5.06,27.04
305,2025-10-01 08:54:55,261,123,1,7,1,8.99,2.07,11.06
306,2025-10-01 08:54:55,261,123,3,7,3,56.97,13.10,70.07
307,2026-01-15 22:46:20,128,124,5,2,2,21.98,5.06,27.04
308,2026-01-15 22:46:20,128,124,15,,1,21.99,5.06,27.05
309,2026-01-15 22:46:20,128,124,1,,3,26.97,6.20,33.17
310,2026-01-15 22:46:20,128,124,5,,2,21.98,5.06,27.04
311,2025-10-03 13:12:18,234,125,10,4,2,49.98,11.50,61.48
312,2025-10-03 13:12:18,234,125,10,4,3,74.97,17.24,92.21
313,2025-10-03 13:12:18,234,125,9,,2,31.98,7.36,39.34
314,2025-10-07 11:34:22,210,126,11,6,2,13.98,3.22,17.20
315,2026-04-07 19:19:06,193,127,4,,1,16.49,3.79,20.28
316,2026-04-07 19:19:06,193,127,1,,3,26.97,6.20,33.17
317,2025-11-29 22:54:33,23,128,7,2,2,159.98,36.80,196.78
318,2025-11-29 22:54:33,23,128,9,2,1,15.99,3.68,19.67
319,2025-11-29 22:54:33,23,128,1,4,1,8.99,2.07,11.06
320,2026-04-24 14:44:53,162,129,12,4,1,11.99,2.76,14.75
321,2025-11-04 20:49:37,104,130,2,,1,12.99,2.99,15.98
322,2025-11-04 20:49:37,104,130,7,4,1,79.99,18.40,98.39
323,2025-11-04 20:49:37,104,130,8,,1,14.99,3.45,18.44
324,2026-04-30 19:44:38,156,131,1,3,1,8.99,2.07,11.06
325,2025-12-31 14:32:03,128,132,11,3,1,6.99,1.61,8.60
326,2026-01-24 16:47:35,208,133,4,,1,16.49,3.79,20.28
327,2026-01-24 16:47:35,208,133,2,4,1,12.99,2.99,15.98
328,2026-01-04 18:40:41,206,134,2,,1,12.99,2.99,15.98
329,2026-01-04 18:40:41,206,134,1,,3,26.97,6.20,33.17
330,2026-01-04 18:40:41,206,134,13,6,1,13.49,3.10,16.59
331,2025-10-13 10:59:36,237,135,7,1,2,159.98,36.80,196.78
332,2025-10-13 10:59:36,237,135,7,,1,79.99,18.40,98.39
333,2026-01-23 22:09:02,144,136,10,,1,24.99,5.75,30.74
334,2026-02-18 15:03:05,211,137,5,4,1,10.99,2.53,13.52
335,2026-02-18 15:03:05,211,137,13,,1,13.49,3.10,16.59
336,2026-02-18 15:03:05,211,137,12,8,1,11.99,2.76,14.75
337,2026-02-06 13:24:17,290,138,3,1,1,18.99,4.37,23.36
338,2026-02-06 13:24:17,290,138,13,8,1,13.49,3.10,16.59
339,2026-02-06 13:24:17,290,138,13,,1,13.49,3.10,16.59
340,2026-03-18 11:17:34,127,139,14,4,2,11.98,2.76,14.74
341,2026-03-18 11:17:34,127,139,13,3,1,13.49,3.10,16.59
342,2026-04-25 19:44:22,163,140,15,6,1,21.99,5.06,27.05
343,2026-04-25 19:44:22,163,140,10,8,1,24.99,5.75,30.74
344,2026-04-25 19:44:22,163,140,3,,1,18.99,4.37,23.36
345,2025-10-06 16:30:00,113,141,6,,2,59.98,13.80,73.78
346,2026-04-24 21:55:20,91,142,1,3,1,8.99,2.07,11.06
347,2026-04-24 21:55:20,91,142,14,2,1,5.99,1.38,7.37
348,2026-04-24 21:55:20,91,142,11,,1,6.99,1.61,8.60
349,2025-11-10 19:27:50,70,143,11,3,3,20.97,4.82,25.79
350,2025-11-10 19:27:50,70,143,9,6,1,15.99,3.68,19.67
351,2026-01-05 12:46:44,90,144,5,7,1,10.99,2.53,13.52
352,2026-01-05 12:46:44,90,144,13,,3,40.47,9.31,49.78
353,2026-01-05 12:46:44,90,144,15,2,2,43.98,10.12,54.10
354,2026-01-05 12:46:44,90,144,3,,1,18.99,4.37,23.36
355,2025-11-12 18:56:05,164,145,14,6,2,11.98,2.76,14.74
356,2025-11-12 18:56:05,164,145,5,6,1,10.99,2.53,13.52
357,2026-04-03 08:03:24,56,146,8,7,2,29.98,6.90,36.88
358,2026-04-03 08:03:24,56,146,7,8,1,79.99,18.40,98.39
359,2026-04-03 08:03:24,56,146,10,3,1,24.99,5.75,30.74
360,2026-04-03 08:03:24,56,146,13,,2,26.98,6.21,33.19
361,2025-10-19 13:10:56,54,147,7,,1,79.99,18.40,98.39
362,2025-10-19 13:10:56,54,147,2,8,1,12.99,2.99,15.98
363,2025-10-19 13:10:56,54,147,7,,3,239.97,55.19,295.16
364,2025-10-19 13:10:56,54,147,3,,1,18.99,4.37,23.36
365,2025-10-19 13:10:56,54,147,7,5,1,79.99,18.40,98.39
366,2025-10-19 13:10:56,54,147,5,,1,10.99,2.53,13.52
367,2025-10-19 13:10:56,54,147,14,,1,5.99,1.38,7.37
368,2025-12-15 21:42:40,45,148,10,,1,24.99,5.75,30.74
369,2025-10-21 15:54:07,150,149,5,5,2,21.98,5.06,27.04
370,2026-01-08 10:23:56,279,150,7,5,1,79.99,18.40,98.39
371,2026-01-08 10:23:56,279,150,5,,1,10.99,2.53,13.52
372,2025-10-22 18:22:51,50,151,9,4,1,15.99,3.68,19.67
373,2025-10-22 18:22:51,50,151,14,8,1,5.99,1.38,7.37
374,2025-10-22 18:22:51,50,151,4,,1,16.49,3.79,20.28
375,2025-10-22 18:22:51,50,151,12,3,1,11.99,2.76,14.75
376,2025-11-14 10:13:51,230,152,4,7,1,16.49,3.79,20.28
377,2026-03-02 12:20:58,76,153,12,,2,23.98,5.52,29.50
378,2026-03-02 12:20:58,76,153,7,8,1,79.99,18.40,98.39
379,2026-03-02 12:20:58,76,153,1,7,2,17.98,4.14,22.12
